max_depth,n_estimators,label,workload,regular_accuracy,custom_accuracy,slowdown,energy_savings
3,20,off_path_reason,all,0.9110568181818182,,,
3,20,off_path_reason,clang,0.9913541666666666,,,
3,20,off_path_reason,gcc,0.9753978723404255,,,
3,20,off_path_reason,mysql,0.9722653846153846,,,
3,20,off_path_reason,mongodb,0.9566593406593407,,,
3,20,off_path_reason,postgres,0.9881270588235294,,,
3,20,off_path_reason,verilator,0.8227990654205607,,,
3,20,off_path_reason,xgboost,0.8313431297709923,,,
3,20,off_path_reason,all,,0.7567587594206824,0.01828409805119557,0.1152172853524405
3,20,off_path_reason,clang,,0.8258801530376223,0.027139642039120976,0.16168990549652165
3,20,off_path_reason,gcc,,0.6117446938545829,0.07965810965168225,0.222334808464954
3,20,off_path_reason,mysql,,0.8707200438756477,0.023950582935294402,0.19215554203327095
3,20,off_path_reason,mongodb,,0.7844044443452538,0.03871824606444876,0.186989968028501
3,20,off_path_reason,postgres,,0.888710207430072,0.023849486091306122,0.22290244343066962
3,20,off_path_reason,verilator,,0.5259729527157626,0.04862977091285594,0.12975839362801364
3,20,off_path_reason,xgboost,,0.5338489060783262,0.029437683242224767,0.10266374852377222
3,20,off_path,all,0.7894827751196172,,,
3,20,off_path,clang,0.8206583333333334,,,
3,20,off_path,gcc,0.5586602836879433,,,
3,20,off_path,mysql,0.8576653846153847,,,
3,20,off_path,mongodb,0.7290362637362637,,,
3,20,off_path,postgres,0.9047552941176471,,,
3,20,off_path,verilator,0.7204971962616823,,,
3,20,off_path,xgboost,0.8966087786259542,,,
3,20,off_path,all,,0.9029665397224007,0.0037532998500923887,0.1225529426096012
3,20,off_path,clang,,0.8327221384203864,0.025437167019699298,0.16110210908081338
3,20,off_path,gcc,,0.6215199415069996,0.07706128514801816,0.22201785672379976
3,20,off_path,mysql,,0.8707521620915438,0.023941110761504087,0.1921522744291688
3,20,off_path,mongodb,,0.7844044443452538,0.03871824606444876,0.186989968028501
3,20,off_path,postgres,,0.888729251678795,0.023841543725666242,0.2228987665882531
3,20,off_path,verilator,,0.7486616658456098,0.0073869437438254075,0.12286415510247278
3,20,off_path,xgboost,,0.8287872032856253,1.469190121580007e-06,0.11368312173508352
3,10,off_path_reason,all,0.9110568181818182,,,
3,10,off_path_reason,clang,0.9913541666666666,,,
3,10,off_path_reason,gcc,0.9753978723404255,,,
3,10,off_path_reason,mysql,0.9722653846153846,,,
3,10,off_path_reason,mongodb,0.9566593406593407,,,
3,10,off_path_reason,postgres,0.9881270588235294,,,
3,10,off_path_reason,verilator,0.8227990654205607,,,
3,10,off_path_reason,xgboost,0.8313431297709923,,,
3,10,off_path_reason,all,,0.7567587594206824,0.01828409805119557,0.1152172853524405
3,10,off_path_reason,clang,,0.8258801530376223,0.027139642039120976,0.16168990549652165
3,10,off_path_reason,gcc,,0.6117446938545829,0.07965810965168225,0.222334808464954
3,10,off_path_reason,mysql,,0.8707200438756477,0.023950582935294402,0.19215554203327095
3,10,off_path_reason,mongodb,,0.7844044443452538,0.03871824606444876,0.186989968028501
3,10,off_path_reason,postgres,,0.888710207430072,0.023849486091306122,0.22290244343066962
3,10,off_path_reason,verilator,,0.5259729527157626,0.04862977091285594,0.12975839362801364
3,10,off_path_reason,xgboost,,0.5338489060783262,0.029437683242224767,0.10266374852377222
3,10,off_path,all,0.7494894736842105,,,
3,10,off_path,clang,0.8203263888888889,,,
3,10,off_path,gcc,0.5572780141843972,,,
3,10,off_path,mysql,0.8576538461538461,,,
3,10,off_path,mongodb,0.7290362637362637,,,
3,10,off_path,postgres,0.9047529411764705,,,
3,10,off_path,verilator,0.4308691588785047,,,
3,10,off_path,xgboost,0.8881190839694656,,,
3,10,off_path,all,,0.8830560130048372,0.0063347631903475825,0.12462754840590183
3,10,off_path,clang,,0.8322363241713082,0.025550191540763767,0.16113598599799803
3,10,off_path,gcc,,0.6181132918038993,0.07825503358679661,0.22241707512654477
3,10,off_path,mysql,,0.8707200438756477,0.023950582935294402,0.19215554203327095
3,10,off_path,mongodb,,0.7844044443452538,0.03871824606444876,0.186989968028501
3,10,off_path,postgres,,0.888729251678795,0.02384419118087954,0.2229014140434664
3,10,off_path,verilator,,0.5619779667055786,0.043079006340985326,0.1297612172791715
3,10,off_path,xgboost,,0.8113997294403988,3.3199098281935502e-06,0.11129999745460732
3,1,off_path_reason,all,0.9110568181818182,,,
3,1,off_path_reason,clang,0.9913541666666666,,,
3,1,off_path_reason,gcc,0.9753978723404255,,,
3,1,off_path_reason,mysql,0.9722653846153846,,,
3,1,off_path_reason,mongodb,0.9566593406593407,,,
3,1,off_path_reason,postgres,0.9881270588235294,,,
3,1,off_path_reason,verilator,0.8227990654205607,,,
3,1,off_path_reason,xgboost,0.8313431297709923,,,
3,1,off_path_reason,all,,0.7567587594206824,0.01828409805119557,0.1152172853524405
3,1,off_path_reason,clang,,0.8258801530376223,0.027139642039120976,0.16168990549652165
3,1,off_path_reason,gcc,,0.6117446938545829,0.07965810965168225,0.222334808464954
3,1,off_path_reason,mysql,,0.8707200438756477,0.023950582935294402,0.19215554203327095
3,1,off_path_reason,mongodb,,0.7844044443452538,0.03871824606444876,0.186989968028501
3,1,off_path_reason,postgres,,0.888710207430072,0.023849486091306122,0.22290244343066962
3,1,off_path_reason,verilator,,0.5259729527157626,0.04862977091285594,0.12975839362801364
3,1,off_path_reason,xgboost,,0.5338489060783262,0.029437683242224767,0.10266374852377222
3,1,off_path,all,0.7351065789473684,,,
3,1,off_path,clang,0.8184819444444444,,,
3,1,off_path,gcc,0.5494524822695035,,,
3,1,off_path,mysql,0.8575897435897436,,,
3,1,off_path,mongodb,0.7290362637362637,,,
3,1,off_path,postgres,0.9047576470588236,,,
3,1,off_path,verilator,0.39402056074766356,,,
3,1,off_path,xgboost,0.8620103053435114,,,
3,1,off_path,all,,0.8836292425126366,0.007159356547462968,0.12665572778336479
3,1,off_path,clang,,0.8276872648085971,0.02686138653603483,0.16170605998014767
3,1,off_path,gcc,,0.6117446938545829,0.07965810965168225,0.222334808464954
3,1,off_path,mysql,,0.8707689973017512,0.023936374674608924,0.1921507905538935
3,1,off_path,mongodb,,0.7844044443452538,0.03871824606444876,0.186989968028501
3,1,off_path,postgres,,0.8887811278676244,0.023830953904813074,0.22289979597545634
3,1,off_path,verilator,,0.526075766610139,0.0486163715365556,0.1297608527661173
3,1,off_path,xgboost,,0.8234859652810462,0.00036985208222213535,0.1133243535629476
5,20,off_path_reason,all,0.9110568181818182,,,
5,20,off_path_reason,clang,0.9913541666666666,,,
5,20,off_path_reason,gcc,0.9753978723404255,,,
